133140936666425331,-0.0198612,-0.964803,0.262222,0.178122,-0.900297,-0.0968065,-0.424375,0.0608323,0.434823,-0.244506,-0.866686,-1.06969,0,0,0,1
133140936668425366,-0.0171725,-0.965447,0.260033,0.17726,-0.903671,-0.0963101,-0.417257,0.0636385,0.427884,-0.242149,-0.870792,-1.06936,0,0,0,1
133140936670425402,-0.0227059,-0.963162,0.267961,0.181747,-0.907229,-0.092757,-0.410282,0.0658731,0.420023,-0.252418,-0.871703,-1.07103,0,0,0,1
133140936672425437,-0.0188401,-0.962011,0.272359,0.184357,-0.91118,-0.0956166,-0.40076,0.0685643,0.411578,-0.255719,-0.874764,-1.07662,0,0,0,1
133140936674425473,-0.0233951,-0.957997,0.285823,0.185913,-0.925353,-0.0874594,-0.368881,0.0758374,0.378385,-0.273117,-0.884439,-1.0823,0,0,0,1
133140936676425509,-0.0165879,-0.955901,0.293218,0.18629,-0.936834,-0.0876138,-0.338623,0.0817167,0.34938,-0.280314,-0.894068,-1.08934,0,0,0,1
133140936678425544,-0.0241188,-0.953361,0.300868,0.192165,-0.937573,-0.082877,-0.337771,0.0833635,0.346952,-0.290232,-0.891847,-1.09937,0,0,0,1
133140936680425579,-0.0198182,-0.954076,0.29891,0.215925,-0.935846,-0.0875118,-0.341372,0.0821845,0.351853,-0.286498,-0.891133,-1.13097,0,0,0,1
133140936682425615,0.0034228,-0.966783,0.255577,0.266589,-0.937896,-0.0917642,-0.33456,0.0781153,0.3469,-0.23856,-0.907055,-1.18438,0,0,0,1
133140936684425650,0.0220652,-0.974146,0.22484,0.329934,-0.939789,-0.0969278,-0.327721,0.0853785,0.341042,-0.204071,-0.91763,-1.24647,0,0,0,1
