372.584,199.909,760,428
133140936667520669,584.726,583.496,0.958191,0.0493056,-0.281857,0.227944,0.0672254,0.918681,0.389243,0.0584494,0.278128,-0.391916,0.876955,-1.06552,0,0,0,1
133140936668187062,584.726,583.496,0.958602,0.0487971,-0.280544,0.227969,0.0664924,0.919616,0.387155,0.0593515,0.276884,-0.389781,0.878299,-1.06576,0,0,0,1
133140936668520258,584.726,583.496,0.958606,0.0494827,-0.280412,0.228225,0.0652646,0.920388,0.385526,0.0601001,0.277164,-0.387867,0.879058,-1.06585,0,0,0,1
133140936668853455,584.726,583.496,0.958485,0.0495236,-0.280814,0.228713,0.0648528,0.921134,0.383808,0.0606343,0.277674,-0.386085,0.879681,-1.06607,0,0,0,1
133140936669186652,584.726,583.496,0.958139,0.0505358,-0.281816,0.229381,0.0641454,0.92139,0.383312,0.0609097,0.279033,-0.385342,0.879577,-1.06609,0,0,0,1
133140936669519848,585.089,583.846,0.957592,0.0519027,-0.28342,0.230324,0.0630978,0.921994,0.382033,0.0612931,0.28114,-0.383714,0.879617,-1.06622,0,0,0,1
133140936669853045,585.634,584.37,0.956936,0.0530085,-0.285426,0.231237,0.0624433,0.922593,0.380692,0.0616722,0.283512,-0.382119,0.879551,-1.06636,0,0,0,1
133140936670186241,586.179,584.894,0.956298,0.0539089,-0.287389,0.232127,0.0620561,0.923052,0.379641,0.0619418,0.28574,-0.380883,0.879365,-1.0667,0,0,0,1
133140936670519438,586.725,585.418,0.955837,0.0548104,-0.288748,0.232792,0.0615171,0.923386,0.378917,0.0621199,0.287393,-0.379945,0.879233,-1.06715,0,0,0,1
133140936670852635,587.27,585.943,0.955519,0.0561064,-0.289551,0.233456,0.0608783,0.92308,0.379764,0.0622657,0.288585,-0.380498,0.878603,-1.06772,0,0,0,1
